query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
西湖渡假村,True,530,苗栗西湖渡假村門票,115724,32,56.64,【限時2折】苗栗西湖渡假村｜仲夏彩蝶歡慶端午特惠住宿專案｜平日雙人套房一泊三食｜加贈 4000 元住宿抵用券,116824,20,25.67
pass,False,529,釜山通行證 VISIT BUSAN PASS,138477,72,49.43,,,,
太平,False,528,嘉義太平雲梯門票,102359,3,20.0,,,,
大皇宮,False,528,大皇宮和玉佛寺免排隊門票 |曼谷,249877,16,42.28,[飯店接送] 曼谷水上市場一日遊：丹嫩莎朵，美功鐵道市場、大皇宮,144057,6,10.31
龜山,False,521,宜蘭龜山島登島賞鯨半日遊,5297,90,50.79,【保證有位】台灣宜蘭｜龜山島賞鯨豚・繞島・登島｜獨家贈送兒童繪本,102159,28,29.27
皿倉山,False,517,九州皿倉山纜車一日遊｜關門大橋&唐戶市場&元乃隅神社&皿倉山纜車（福岡出發）,180965,195,46.15,,,,
山頂纜車,False,516,香港太平山頂纜車門票｜凌霄閣摩天台428入場門票,100640,34,85.21,,,,
消失的法老,False,512,消失的法老 古夫金字塔 VR 沉浸體驗,549777,30,66.43,奇美博物館｜消失的法老 VR 沉浸探險,572923,16,39.45
吉貝島,False,512,澎湖吉貝島 | 沙尾沙灘暢玩水上活動一日遊,6795,248,46.85,澎湖吉貝島一日遊| 漫遊北方秘境目斗嶼＆來回船票＆島上機車＆水上活動&潮間帶抱礅體驗｜赤崁碼頭出發,101369,61,46.05
頑皮,False,506,台南頑皮世界野生動物園門票,100025,16,79.79,【限量場次】台南學甲｜頑皮世界野生動物園｜水豚互動體驗預約,123754,1,9.52
f1,False,506,新加坡F1門票住宿四天三夜,168524,4013,21.69,F1 新加坡航空新加坡大獎賽 2026 於濱海灣市街賽道︱Formula 1 新加坡,129639,409,51.49
追風奇幻島,False,504,追風奇幻島門票,569514,36,80.35,,,,
榮耀號,False,500,MSC Bellissima 地中海郵輪榮耀號｜最高第2人半價｜最高早鳥優惠6000,150465,1452,45.22,【郵輪岸上觀光一日遊】日本九州佐世保一日遊  九十九島/豪斯登堡/武雄圖書館｜0321/0627  MSC Bellissima 地中海郵輪榮耀號｜0403/0415/0813 Coata Serena 歌詩達郵輪莎倫號｜中文導遊,268073,58,4.0
南海特急,False,499,大阪關西機場 KIX 南海電鐵機場快線 Rapi:t 電子車票,19691,33,82.02,,,,
Pass,False,495,釜山通行證 VISIT BUSAN PASS,138477,77,76.64,,,,
蘇梅島,False,487,龜島(Koh Tao)＋南緣島(Koh Nang Yuan )+閣帕岸島(Pha-Ngan Islands )快艇跳島｜蘇美島,3897,12,19.12,,,,
海遊,False,487,日本大阪｜帆船型觀光船 聖瑪麗亞號 Osaka Bay Cruise Santa Maria 乘船票,130919,3,5.08,大阪海遊館門票 Osaka Aquarium Kaiyukan,4849,1,85.71
哈修塔特,False,486,奧地利｜哈修塔特 HALLSTATT 一日遊｜維也納出發｜中/英文行程,21115,50,35.81,,,,
野森,False,485,高雄野森動物學校門票,570724,51,85.92,,,,
藍眼淚,False,485,【馬祖藍眼淚】馬祖南竿 | 北海坑道搖櫓船 | 夢幻秘境體驗,118424,65,62.58,【無購物】金門夜間導覽 | 夜尋藍眼淚 & 金門大橋 | 2 - 5 月限定,139190,9,18.92
衝浪,False,483,衝浪體驗初階、進階教學｜宜蘭烏石港｜藍洋衝浪,38707,13,37.21,,,,
騎馬,False,483,宜蘭｜外澳小山丘馬場·山海騎乘體驗｜全程教練一對一陪同,287294,15,33.85,,,,
dmz,False,482,DMZ 非軍事區之旅｜共同警備區博物館、都羅展望台、第三隧道｜首爾出發,144143,106,40.15,KKday限定優惠中｜南北韓歷史之旅｜臨津閣公園、第三地道、都羅展望台 DMZ 半日遊,22739,7,23.68
三鷹之森,False,482,日本東京｜三鷹之森吉卜力美術館＆井之頭公園・漫步半日遊｜保證入園,21611,44,52.0,,,,
花火節,False,478,得意遊艇｜海上賞花火船｜離島望安場花火專船｜南海遊客中心出發,116381,33,34.78,澎湖花火限定活動｜SUP 體驗海上花火大會,144522,20,14.21
破冰船,False,476,北海道破冰船二日遊｜紋別破冰船GARINKO&層雲峽溫泉冰瀑祭&雪上摩托車＆男山酒造＆旭山動物園｜札幌出發,151492,188,45.7,,,,
東京迪士尼海洋,True,473,東京迪士尼樂園 & 東京迪士尼海洋門票,19252,30,71.09,東京23區 ⇐⇒ 東京迪士尼樂園接送、東京迪士尼海洋接送、東京迪士尼樂園及東京迪士尼海洋週邊飯店接送,569976,14,4.17
香川,False,470,日本 JR PASS｜四國鐵路周遊券 All Shikoku Rail Pass｜電子票,125457,14,6.67,日本香川 正宗贊岐手工烏龍麵製作體驗 從JR高松站步行即可到達 【KKday限定冷熱烏龍麵均可享用】,182624,13,12.12
高野山,False,467,『關西小眾秘境一日遊』高野山世界遺產 & 祕境一日遊，大阪出發,533802,13,32.69,日本和歌山｜Visit Koya Ticket 高野山～大阪優惠套票（南海電車往返＋高野山巴士2日通票）,177361,1,25.61
巧虎,False,462,桃園巧虎夢想樂園門票,115196,38,78.84,,,,
煙波,False,462,煙波大飯店新竹湖濱館,303617,5,34.69,,,,
屏菸,False,457,屏菸 1936 文化基地｜屏東縣立美術館,132556,19,82.24,,,,
恆春,False,457,高鐵假期｜屏東河堤時尚旅店恆春館2日,570692,41,11.11,屏東海生館｜國立海洋生物館門票,9468,8,8.06
纜車,False,456,韓國釜山｜松島海上纜車來回門票,19674,14,33.33,釜山通行證 VISIT BUSAN PASS,138477,5,1.89
環球vip,False,456,日本環球影城 VIP 體驗私人行程｜日本大阪,151948,508,77.16,日本環球影城門票 & 快速通關券 USJ,18618,17,23.97
獨木舟,False,456,宜蘭｜水行者南方澳豆腐岬猴猴鼻海上秘境 SUP・獨木舟體驗｜進階者可升級玻璃沙灘賊仔澳秘境,25014,85,19.23,澎湖｜小門嶼獨木舟體驗｜日出半日遊,101352,13,0.0
和逸,False,456,高鐵假期｜和逸飯店．高雄中山館2日｜5/31前出發加碼贈送高雄捷運一日搭乘券,28863,21,20.63,,,,
天空,False,455,釜山全攻略一日遊｜海雲台藍線公園 (天空膠囊 & 海岸列車)・甘川文化村・豪華遊艇・白淺海岸村・海東龍宮寺 & More (釜山出發),11186,15,13.33,韓國釜山｜海雲台藍線公園海岸列車・天空膠囊列車票,123012,9,70.59
九洲,False,455,【1人成團】九州宮崎一日遊｜上色見熊野座神社・高千穗峽・天岩戸神社・天安河原｜限時送和式點心・含免費接駁車（福岡出發）,182363,13,13.89,Fun Tour 九州巴士輕鬆遊｜雷山千如寺、 柳川、太宰府、竈門神社｜語音導覽服務,538560,11,6.25
jrpass,False,454,日本 JR PASS｜鳥取・松江區域周遊券｜eMCO 電子票,153331,5,6.12,【日本 JR PASS】關西＆廣島地區鐵路周遊券,20310,2,16.39
中港,False,452,【Airalo 中國、香港 eSIM】中港 1~20GB 總量型、無限流量型 eSIM,120200,4,34.48,,,,
鹿境,False,447,墾丁鹿境梅花鹿生態園區門票,2125,71,75.0,,,,
琵琶湖花火,False,446,保證座位！璀璨煙火倒映在湖上！琵琶湖大煙火大會【梅田、難波、京都出發】,173327,78,18.03,琵琶湖大煙火2026｜近江牛便當｜京阪神出發,285534,16,23.08
大坂,False,442,大阪 長居植物園 teamLab Botanical Garden Osaka電子門票,136858,2,0.0,NAKED 與高第展覽聯袂演出門票（大阪活動）,573440,2,0.0
烏石港,False,441,【保證有位】台灣宜蘭｜龜山島賞鯨豚・繞島・登島｜獨家贈送兒童繪本,102159,68,27.5,烏石港OA HOTEL,306855,15,24.74
天空膠囊列車,False,441,釜山全攻略一日遊｜海雲台藍線公園 (天空膠囊 & 海岸列車)・甘川文化村・豪華遊艇・白淺海岸村・海東龍宮寺 & More (釜山出發),11186,90,16.88,韓國釜山｜海雲台藍線公園海岸列車・天空膠囊列車票,123012,69,75.26
山茶花,False,440,「新山茶花號」Camellia Line 博多港 ↔ 釜山港｜往返渡輪,138770,21,72.66,【濟州外拍私房景點】山茶花之丘(Camellia Hill)門票,13862,5,26.32
傳藝,False,440,國立傳統藝術中心宜蘭傳藝園區門票,24308,17,69.85,煙波花時間 宜蘭傳藝,306873,2,5.0
虎航,False,435,【 新飯店好評開賣 】台灣虎航・桃園出發｜日本石垣島自選市區飯店 4 日＆ 5 日自由行｜１人成行・含行李,133196,119,2.82,,,,
佐世保,False,435,【郵輪岸上觀光一日遊】日本九州佐世保一日遊  九十九島/豪斯登堡/武雄圖書館｜0321/0627  MSC Bellissima 地中海郵輪榮耀號｜0403/0415/0813 Coata Serena 歌詩達郵輪莎倫號｜中文導遊,268073,30,36.67,,,,
膠,False,430,韓國釜山｜海雲台藍線公園海岸列車・天空膠囊列車票,123012,25,73.33,,,,
大陸sim,False,428,【超人氣熱銷 50% OFF】中國大陸 5G/4G eSIM｜三大電信任選・信號覆蓋最廣・免翻牆｜1–30天超多方案｜支援 ChatGPT,547059,18,23.7,中港澳 1 - 30 天每日/固定流量方案｜5 折,129564,1,27.06
飛牛牧場,False,426,苗栗飛牛牧場門票．套票,128291,22,81.82,,,,
巴達雅,False,425,【泰國】機場包車接送 | 廊曼/素萬那普機場 ↔ 曼谷市區/巴吞他尼府/芭達雅/考艾/華欣/七岩/大城府/羅勇府/北碧府,134096,7,16.13,,,,
大稻埕,False,422,KKday 線上獨家｜藍色公路微旅行｜大稻埕史蹟導覽＆乘船漫遊淡水河＋船上導覽,103379,3,28.87,台北新北｜藍色公路微旅行｜淡水遊河．夕陽航班．夜航航班｜大稻埕 / 忠孝碼頭出發,100759,1,34.55
名古屋樂高,False,421,日本樂高樂園門票,11413,258,75.38,,,,
蘇美島,False,420,泰國｜蘇美島大象叢林保護區體驗營,24231,6,10.89,蘇美島・安通國家公園一日遊｜搭乘大型遊艇或快艇｜獨木舟體驗,23857,6,21.11
最後的晚餐,False,419,米蘭半日觀光遊，欣賞達文西的《最後的晚餐》,268856,58,26.17,,,,
八達,False,417,【香港必備交通票券】香港八達通卡 - 含HKD50餘額｜桃園、高雄小港機場領取 / 台灣寄送,149524,12,35.0,香港旅客八達通卡(升級版) - 含HKD50餘額｜香港機場領取｜暢遊港澳&大灣區,8962,4,61.97
新瀉,False,415,日本新潟｜清津峽鏡池 接駁巴士搭乘券＆清津峽溪谷入場券,146035,7,25.0,,,,
波,False,412,圓潤的魔法 波特羅特展 門票,579180,1,50.0,,,,
永生傳說,False,410,埃及木乃伊-永生傳說,579724,10,70.45,,,,
谷關,False,408,谷關溫泉｜谷關溫泉飯店住宿券｜一泊三食,123310,6,23.4,,,,
琉球,False,407,屏東東港- 小琉球來回船票｜泰富航運,100243,9,32.73,,,,
埔里,False,406,南投埔里｜飛行者高空飛行傘體驗｜專業教練一對一,100862,17,6.0,台灣南投｜埔里虎頭山飛行傘體驗,4620,10,14.52
大堡礁,False,405,凱恩斯摩爾大堡礁水上活動一日遊 | 太陽戀人號 Sunlover | 浮潛・玻璃船・水上活動,2968,148,24.66,,,,
新世界,False,405,韓國釜山汗蒸幕推薦｜新世界 SPA LAND 汗蒸幕入場券,12213,24,10.11,,,,
白川,False,404,【1人成團】日本白川鄉合掌村一日遊｜可選直達展望台＋飛驒高山老街巡禮｜名古屋出發,526215,50,35.0,,,,
Buffet,False,400,【KKday 獨家優惠】銅鑼灣｜Mr. Steak a la minute ｜自助午餐、自助晚餐｜法國美食節：紅酒鴨肝、布根地紅酒燴牛面頰、法式香草牛油焗田螺、油封鴨腿,279547,10,25.0,【國旅卡適用】台北萬豪酒店餐券｜Garden Kitchen｜自助餐,115103,4,18.52
亂打,False,399,首爾NANTA亂打秀門票｜明洞・弘大,2358,173,77.36,濟州亂打秀門票,525918,4,15.22
濱海灣,False,398,新加坡濱海灣花園門票,3158,112,82.29,,,,
福崗,False,398,由布院・別府灶地獄・太宰府天滿宮九州一日遊｜含門票｜中文導遊（福岡出發）,186114,26,7.14,,,,
Baby,False,394,臺北市展覽｜Baby Shark 守護海洋大冒險,573722,19,90.38,Baby Shark 守護海洋大冒險｜高雄站,581889,2,100.0
大雪山,False,393,台中大雪山國家森林遊樂區門票,100561,21,47.06,,,,
猊鼻溪,False,393,【東北拼車一日遊】世界文化遺產 平泉中尊寺、日本百景猊鼻溪、嚴美溪（仙台出發）,21638,102,22.03,日本岩手平泉文化巡禮一日遊｜中尊寺金色堂・猊鼻溪遊船・藤原之鄉歷史公園｜仙台出發 （含特色午餐）,576605,83,19.1
沙美島,False,391,【泰國】曼谷單程接送至羅勇班佩碼頭（前往美沙島的碼頭）,24495,3,23.46,,,,
12廚,False,388,【國旅卡適用】台北喜來登大飯店｜十二廚｜自助餐,34984,170,64.47,,,,
古宇利,False,382,日本沖繩古宇利島古宇利海洋塔門票,573416,4,45.0,,,,
玉山,False,378,南投 嘉義｜百岳｜玉山主峰 2天2夜 (入住 排雲山莊 )｜台北 & 桃園 & 新竹 & 台中 上車,132189,60,45.95,台灣屋脊 | 玉山 | 主峰睥睨群山 | 兩天一夜 | 台中出發,145066,48,40.0
青之洞窟,False,378,【拍照張數無限制！】沖繩青之洞窟・青洞・藍洞浮潛 ｜okinawa blue｜不會游泳者及小朋友都能輕鬆體驗,127784,9,29.07,「即買即用」日本・沖繩｜青洞潛水、浮潛體驗｜青之洞窟屋｜多語教練、早晨下午時段優惠,20577,8,34.57
淨園,False,378,高雄淨園農場門票,101117,18,81.32,,,,
大內宿,False,377,【冬季銀山溫泉二日遊】銀山溫泉&宮崎藏王狐狸村&藏王中央纜車觀賞雪景&大內宿,535652,363,14.29,福島巴士之旅：大內宿、只見鐵路和豬苗代湖,559357,145,41.25
台胞,False,376,首來族中國卡式台胞證代辦服務 I 贈esim/wifi優惠碼&現場親送再贈棚拍,38443,23,61.04,【中國大陸簽證】首來族卡式台胞證代辦服務｜贈國外esim/wifi折扣碼&現場親送再贈棚拍,139716,5,30.65
原生 eSIM,False,376,【優惠促銷5折】泰國eSIM｜5G高速網路｜DTAC、Truemove原生資源｜2026年7月31日前啟用 指定規格加贈20GB,535380,2,30.0,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815,1,16.1
松山,False,376,松山機場接送｜全省各區域往返松山機場.賓士商務車.賓士航空椅.五人座【送機.接機.包車】,250762,12,22.22,,,,
湄南河,False,376,【泰國】湄南河白蘭花號遊船自助晚餐體驗 White Orchid River Cruise,6703,37,37.04,曼谷湄南河畔嘉年華遊輪 |泰國,268983,9,26.32
木柵,True,376,台北市立木柵動物園門票,37596,3,65.05,,,,
深澳,False,373,八斗子深澳鐵道自行車 Rail Bike 門票,27378,15,81.58,,,,
線上旅展,False,372,釜山斜坡滑車門票,152412,30,0.0,宜蘭｜初咪體驗農場｜下田採蔥體驗＆洗蔥＆蔥麵包 DIY體驗,132411,1,33.33
飛牛,False,369,苗栗飛牛牧場門票．套票,128291,8,88.52,,,,
宮宴,False,366,【中國】丨杭州宮宴（中國古風表演、帝王般視聽盛宴、宮廷盛宴、精美菜品）,528670,9,16.18,,,,
塗鴉秀,False,364,【韓國人氣表演】首爾｜塗鴉秀 Painters 門票 (光化門專用館),11905,71,67.23,韓國｜金海伽倻主題公園 入場券 + Painters 塗鴉秀｜入場券,105760,17,12.99
Xpar,False,363,桃園Xpark水族館門票,101517,7,81.82,,,,
奮起湖,False,363,【含1人成團方案】台灣嘉義｜阿里山拼車一日接送｜奮起湖老街＆阿里山｜保證出團 ｜獨家贈送檜木甜甜圈｜台中市區 & 嘉義 & 台南 & 高雄 出發,33759,35,43.66,台灣好行阿里山車票,104515,1,24.53
Msc,False,361,MSC Bellissima 地中海郵輪榮耀號｜最高第2人半價｜最高早鳥優惠6000,150465,1061,57.28,,,,
SHIBUYA SKY,False,361,澀谷SHIBUYA SKY展望台門票,133300,28,81.19,,,,
小三,False,360,金廈小三通｜台灣機票＆機場碼頭接駁＆小三通船票｜台北/台中/高雄出發,143059,51,60.0,,,,
天文館,False,360,台北天文館・科學教育館・兒童新樂園｜二館聯票・三館聯票,128325,3,62.12,,,,
大陸sim卡,False,360,【超人氣熱銷 50% OFF】中國大陸 5G/4G eSIM｜三大電信任選・信號覆蓋最廣・免翻牆｜1–30天超多方案｜支援 ChatGPT,547059,6,30.88,,,,
下龍,False,359,【全新推出】鑽石時代豪華一日遊 | 探索下龍灣美景，盡情驚訝與蒂托普 | 越南,563476,40,50.0,,,,
兒童王國,False,359,沖繩兒童王國門票,573966,14,76.82,,,,
紫南宮,False,358,【南投】竹山紫南宮求財還金一日遊｜台北、台南、高雄出發,141679,99,71.23,,,,
tokyo,False,358,【機場市區交通】京成 Skyliner（單程）,7913,3,7.41,,,,
太平雲梯,False,354,嘉義太平雲梯門票,102359,8,68.37,,,,
Touch five,False,353,弘大音樂劇《TOUCH FIVE》演出 |最性感男士秀門票（僅限女性）,266953,218,88.57,,,,
巨濟島,False,352,【釜山出發】島嶼之旅｜巨濟島/統營隱秘度假島一日遊,143877,103,59.06,,,,
Disney,False,351,東京迪士尼樂園 & 東京迪士尼海洋門票,19252,29,73.75,美國加州｜迪士尼樂園門票｜Disneyland門票｜免排隊購票,4051,22,50.0
尼加拉瀑布,False,349,尼加拉瀑布一日遊 | 可選普通話語音導覽｜紐約,129231,116,9.38,,,,
北碧,False,348,【泰國】北碧府一日遊：野生動物園 + 桂河大橋 + 玻璃屋山景田園咖啡廳,132776,27,43.64,北碧府桂河一日遊,20828,16,17.5
策馬特,False,347,策馬特戈爾內格拉特 Gornergrat Bahn 火車票｜瑞士,332076,13,24.42,,,,
大陸e,False,345,【超人氣熱銷 50% OFF】中國大陸 5G/4G eSIM｜三大電信任選・信號覆蓋最廣・免翻牆｜1–30天超多方案｜支援 ChatGPT,547059,14,76.19,,,,
兔子卡,False,345,泰國曼谷BTS 空鐵兔子卡 Rabbit Card,264846,13,77.14,,,,
新穗高,False,342,日本岐阜新穗高高空纜車,260212,17,31.82,,,,
dmm,False,341,日本沖繩 DMM Kariyushi 水族館門票,173162,60,47.97,日本沖繩 DMM Kariyushi 水族館門票｜加贈冰淇淋兌換券,527376,13,31.4
長榮,False,339,【端午連休出發・最低NT$12999起】長榮＆中華航空・桃園出發｜香港 3天計畫機票・1 人成行含行李,249389,76,25.0,,,,
歌詩達,False,339,Costa Serena 歌詩達郵輪 嶄新莎倫娜號｜2026 年度航程｜最高四人同行二人免費、三人房第三人免費,249993,495,55.79,,,,
海港,False,336,台灣｜漢來海港｜自助餐,128806,8,70.0,,,,
考艾,False,336,考艾私人包車一日遊（曼谷出發）泰國,135068,17,29.63,,,,
蜆港,False,331,峴港專車（含中文司機）前往會安、順化,538349,14,20.0,越南｜My Xuan Cruise 遊輪夜遊峴港漢江,39763,1,6.25
Team lab,False,331,東京豐洲新型態美術館門票 teamLab Planets TOKYO,22396,52,59.34,日本福岡teamLab Forest 福岡門票 — SBI 證券｜立即確認,124596,4,10.26
藍皮解憂號,False,330,藍皮解憂號觀光列車套票｜車票＆中文導覽＆特色餐點,24011,57,77.91,,,,
上色見熊野座神社,False,328,【1人成團】九州宮崎一日遊｜上色見熊野座神社・高千穗峽・天岩戸神社・天安河原｜限時送和式點心・含免費接駁車（福岡出發）,182363,11,17.65,,,,
taipei,False,327,【2人成團】宜蘭｜太平山一日遊｜太平山莊＆蹦蹦車｜見晴懷古步道＆鳩之澤溫泉 ＆三星蔥油餅｜台北宜蘭出發｜中英服務｜保證小車出行,133921,9,23.08,台北・桃園・新竹不老松足湯按摩體驗｜贈專屬好禮,282671,2,0.0
優勝美地,False,327,優勝美地兩天一夜 | 內華達山脈＆新娘面紗瀑布 | 舊金山出發（入住優勝美地）,29543,188,34.12,美國優勝美地一日遊 | 半圓丘＆酋長巨石 | 舊金山市區出發｜85 折,19564,178,36.36
bali,False,326,峇里島四驅吉普車日出體驗｜巴杜爾火山｜可加選景點（ATV 越野車、泛舟、叢林鞦韆、溫泉、咖啡廳等）,38377,50,12.5,WAHAHA娃哈哈猪肋排不限日期禮券水明漾/ 金巴蘭 | 峇里島最好的猪肉肋骨,155287,2,0.0
barcelona,False,326,聖家堂門票（含語音導覽）,169333,7,14.29,,,,
花火船,False,325,澎湖海上花火船．保證有位｜2026澎湖花火節,104992,34,47.46,澎湖花火船 & 海上賞花火｜海安遊艇｜南海遊客中心出發,115926,7,37.7
曾文水庫,False,324,嘉義曾文水庫觀光遊艇,29261,22,74.68,,,,
波特,False,323,圓潤的魔法 波特羅特展 門票,579180,2,77.78,,,,
波上宮,False,322,【1人成行】Fun Pass 沖繩巴士｜萬座毛、美麗海水族館、波上宮、殘波岬燈塔、東南植物樂園燈光秀、美國村一日遊｜語音導覽服務,270690,7,25.37,,,,
消失,False,322,消失的法老 古夫金字塔 VR 沉浸體驗,549777,21,81.08,奇美博物館｜消失的法老 VR 沉浸探險,572923,6,21.74
玻璃船,False,321,日本沖繩南部精華一日遊｜知念岬・新原海灘・沖繩世界・瀨長島・奧特萊斯／DMM水族館｜中文導遊（含沖繩世界門票・玻璃船體驗）,137523,37,11.11,,,,
Touch,False,321,弘大音樂劇《TOUCH FIVE》演出 |最性感男士秀門票（僅限女性）,266953,8,95.35,,,,
百果,False,320,彰化百果山探索樂園門票,116315,68,77.42,,,,
東南亞,False,320,【飛速5G超快感 熱銷第一吃到飽】新馬泰越印尼 eSIM卡｜免實名 即買即用｜kkday獨家1-100天,154313,7,37.04,,,,
藻岩山,False,317,日本札幌藻岩山空中纜車＆迷你登山纜車套票,145835,5,47.06,<夜景觀賞時間限定> 札幌藻岩山索道纜車優先上山預售票 *當天 11:59 前均可下訂,147580,3,55.75
異想,False,317,台中異想新樂園門票,115161,24,94.44,,,,
環球影城VIP,False,316,日本環球影城 VIP 體驗私人行程｜日本大阪,151948,1779,69.7,日本環球影城門票 & 快速通關券 USJ,18618,28,21.91
Club,False,316,釜山海雲台  | Club D Oasis（LCT Hot Spring Spa & Infinity Pool）門票,158792,59,85.71,,,,
羅東,False,316,宜蘭租機車｜胖胖機車｜鄰近羅東・宜蘭・礁溪火車站,39533,1,7.84,,,,
es,False,315,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004,3,0.0,,,,
VR,False,315,消失的法老 古夫金字塔 VR 沉浸體驗,549777,12,50.98,奇美博物館｜消失的法老 VR 沉浸探險,572923,3,26.83
Big,False,314,釜山通行證 VISIT BUSAN PASS,138477,4,85.71,,,,
薰衣草,False,313,台灣台中｜浪漫台中一日遊｜薰衣草森林、大坑情人橋、中社花海、高美濕地 ｜台中出發,37765,25,5.88,台中薰衣草森林門票,101859,2,37.21
松,False,313,日本環球影城門票 Universal Studios Japan,2247,28,0.0,,,,
泛舟,False,313,花蓮瑞穗｜秀姑巒溪泛舟體驗｜可加購花蓮市區接駁,29087,66,48.39,,,,
三峽,False,311,新北露營｜三峽皇后鎮森林｜風車 House 包套式露營車,30301,12,11.86,,,,
Haruk,False,311,關西機場特快 HARUKA 車票,18940,5,89.47,,,,
arex,False,310,【교통패스】 한국 공항철도 AREX 편도 티켓,2878,24,57.95,首爾東大門 SPAREX 汗蒸幕門票,251827,1,5.77
凱渡,False,310,凱渡廣場溫泉酒店,306870,123,70.45,,,,
證件照,False,308,首爾韓式白色背景身分證/護照/簽證照片+個人資料照片,525978,2,25.93,韓國首爾｜弘大 Time on me 攝影棚 證件照、形象照專業拍攝,102042,1,26.47
張保仔,False,308,香港｜維多利亞港晚間航遊、「幻彩詠香江」航遊｜「張保仔」號 Aqua Luna,22886,84,81.08,,,,
Spaland,False,308,韓國釜山汗蒸幕推薦｜新世界 SPA LAND 汗蒸幕入場券,12213,52,91.18,,,,
SUP,False,307,【55元起 飛速5G超快感】韓國eSIM雙網吃到飽網卡｜IG限動超順｜SKT+LG｜即買即用｜kkday獨家1-100天,155669,2,0.0,,,,
墨西哥,False,306,美加墨三國／美國網卡 | T-Mobile 美國、加拿大、墨西哥三國通用／美國專用 上網＋通話eSIM,132803,7,6.98,,,,
轉轉卡,False,305,韓國首爾轉轉卡,12827,95,80.73,,,,
十二廚,False,305,【國旅卡適用】台北喜來登大飯店｜十二廚｜自助餐,34984,221,75.42,,,,
X the sky,False,304,釜山通行證 VISIT BUSAN PASS,138477,138,6.93,釜山 X the Sky 展望台門票,105514,85,79.59
生日慶,False,304,【客製化多日包車】日本東京/大阪/名古屋/北海道等地區全客製化DIY自由行,138986,135,0.0,宜蘭外澳雙獅衝浪｜新手教學課程、租板,22343,17,0.0
綠色,False,303,台南四草觀光船｜綠色隧道・台江航線船票,114800,2,14.29,,,,
凱撒,False,301,【國旅卡適用】台北凱撒大飯店｜Checkers｜自助餐,24223,14,46.75,【7折優惠】墾丁凱撒大飯店餐券｜發現西餐廳,131448,8,17.39
米佛峽灣,False,299,【紐西蘭南島必遊景點】Go Orange 米佛峽灣觀光遊船,28867,70,16.0,紐西蘭 | 米佛峽灣玻璃車頂觀光巴士＆遊船一日遊皇后鎮出發,19484,10,34.21
白沙屯,False,298,KKday獨家｜今年想翻身就這一趟｜台中廣天宮 財神爺借財庫 × 苗栗白沙屯媽祖祈福一日遊｜財運＋平安一次到位｜台北桃園指定地點出發｜VIP保留席,100280,50,34.21,2026 白沙屯媽祖進香體驗接送,102519,8,68.36
德威,False,297,德威航空．高雄出發｜首爾＆濟州＆釜山計畫機票＋自選超值方案｜1人成行．含行李,139665,156,23.21,德威航空・松山＆桃園出發｜首爾＆大邱＆濟州計畫機票＋自選超值方案｜1人成行．含行李,137021,41,38.1
汗蒸,False,293,首爾東大門 SPAREX 汗蒸幕門票,251827,25,29.03,[首爾] SPAREX汗蒸房桑拿東廟店門票,267140,2,14.29
suica,False,292,日本福岡機場領取 Welcome Suica IC 卡｜JR・地鐵・巴士適用交通卡,575327,1,31.21,,,,
安帕瓦,False,291,【泰國】曼谷包車半日遊｜美功鐵道市場—安帕瓦水上市場—安帕瓦螢火蟲遊河,21751,13,43.66,,,,
wow,False,290,[ITZY] KKday x WOWPASS 官方聯名卡 ｜台灣桃園/松山機場取件,530841,1,27.27,,,,
八斗子,False,290,八斗子深澳鐵道自行車 Rail Bike 門票,27378,12,77.19,,,,
tte,False,288,日本九州 Fun Pass｜任選組合套票｜kyushu funPass,266121,1,50.0,,,,
故宮南院,False,288,國立故宮博物院門票｜台北故宮、嘉義故宮南院電子票,18094,5,53.54,,,,
太宰,False,288,福岡西鐵｜太宰府 天滿宮+柳川遊船 觀光暢遊套票｜福岡機場國際線領取,181754,1,28.57,,,,
Olive,False,288,OLIVE YOUNG 手機電子優惠券,570947,31,72.73,,,,
大板根,False,288,大板根森林溫泉酒店,307073,26,20.0,,,,
馬公,False,287,嘉義布袋 - 澎湖船票｜澎湖自由行｜持憑證享南海燒烤優惠,101123,8,20.69,,,,
taiwan,False,287,【59折優惠】台北美福大飯店|GMT義大利餐廳聯合餐券,547893,6,0.0,【5折優惠】台灣 每日流量/總量eSIM,162522,1,30.0
山陰,False,286,日本 JR PASS｜關西&山陰地區鐵路周遊券｜eMCO 電子票,20307,74,27.78,【日本 JR PASS】關西廣域鐵路周遊券（韓國、馬來西亞、越南、菲律賓郵寄）,20317,7,13.64
琉球村,False,285,琉球村門票,128216,63,54.43,沖繩南部一日遊｜知念岬＆玉泉洞＆系滿魚市場&瀨長島&奥特莱斯｜那霸市區出發,285410,25,0.0
狐狸村,False,285,日本 東北仙台藏王御釜・狐狸村・長老湖・滑津瀑布一日遊（仙台出發）,145844,40,28.21,宮城仙台｜藏王狐狸村、日本三景松島拼車一日遊 ｜仙台站出發,20358,10,33.33
水與松,False,285,南投水与松萌萌園門票,536478,11,62.5,,,,
perth,False,284,Rottnest Express：羅特尼斯島渡輪票 |澳洲西部,131102,19,17.65,,,,
