query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
Chiikawa,False,1401,【KKday獨家】香港 Chiikawa Ramen Buta (吉伊卡哇) 拉麵｜預約證含飲品券｜預約即送香港限定角色卡｜旺角朗豪坊,527375,1,3.13,【KKday獨家特惠】吉伊卡哇拉麵豚池袋店入場券（含黑烏龍茶）,529231,1,18.18
kkday,False,1391,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004,7,0.93,,,,
海之中道,False,1342,日本九州福岡海之中道水族館門票 MARINE WORLD,27448,103,62.95,福岡北九州賞花一日遊｜季節限定河內藤園紫藤隧道・小倉城庭園・海之中道海濱公園・宮地嶽神社光之道・THE OUTLETS KITAKYUSHU（博多出發）,574065,28,14.65
由布,False,1330,【1人成團】九州大分由布院＆別府地獄一日遊｜金鱗湖・九州自然動物園・博多出發（可選由布院之森列車）,175897,30,17.65,【1人成團】九州福岡別府六景一日遊｜如意輪寺+由布岳+湯布院+金麟湖+海地獄+灶地獄（含門票）,150984,18,23.33
Ktx,False,1328,首爾 -釜山KTX 火車票,536336,56,72.2,釜山專車接送：金海機場(PUS)、釜山KTX車站 ↔ 釜山市區,18410,9,4.86
Es,False,1322,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004,8,14.29,,,,
故宮,False,1312,國立故宮博物院門票｜台北故宮、嘉義故宮南院電子票,18094,40,53.44,【中國】北京故宮博物院半日遊｜故宮首道門票＋無線耳麥＋3小時導遊講解｜ 中文/英文/粵語導覽,158900,13,18.01
近鐵,False,1305,日本關西近鐵電車周遊券｜KINTETSU RAIL PASS 1日・2日・5日・5日PLUS版通票,18572,36,51.87,日本近鐵特急列車車票｜大阪・京都往返名古屋・奈良・伊勢志摩全路線,576982,4,41.46
饗食天堂,False,1304,台灣｜饗賓餐旅集團｜饗食天堂．果然匯．開飯川食堂．饗泰多｜電子抵用券,141438,1,47.82,,,,
Haru,False,1278,關西機場特快 HARUKA 車票,18940,24,85.37,,,,
沖,False,1268,Churasun 6 沖繩 ( ちゅらさん 6 ) 表演觀賞門票預約 ( 沖繩 那霸・表演 ),181495,9,16.67,,,,
吃到飽,False,1249,澎湖海洋牧場｜垂釣體驗．鮮蚵炭烤．海鮮粥吃到飽,2332,22,9.09,四季‧悅｜午市、晚市無限時任食任飲｜花膠放題｜日本料理｜九龍灣、金鐘｜放題優惠推介2026,268994,6,20.0
Skyl,False,1245,【機場市區交通】京成 Skyliner（單程）,7913,38,88.31,釜山斜坡滑車門票,152412,3,5.26
小叮噹,True,1236,小叮噹科學主題樂園門票・滑雪預約,101848,101,75.19,,,,
T,False,1216,釜山通行證 VISIT BUSAN PASS,138477,6,0.0,,,,
恐龍,False,1215,恐龍大復活關渡探險樂園門票,547603,77,77.88,彰化古生物奇幻樂園門票,146414,3,14.29
溪頭,False,1209,南投溪頭自然教育園區門票．套票,101934,26,49.69,【2026 螢火蟲季】南投賞螢天花板！鹿谷溪頭：3/27-5/31沉浸式森林導覽限時預約中｜螢火蟲導覽,127268,7,13.94
Busan pass,False,1192,釜山通行證 VISIT BUSAN PASS,138477,323,87.77,,,,
利木津,False,1172,東京利木津巴士｜羽田機場 (HND)・成田機場 (NRT) 至東京市區・迪士尼｜接送車票,18551,110,42.35,日本關西機場 (KIX) 至京都、大阪市區｜利木津巴士車票,4835,95,44.14
涉谷sky,False,1124,澀谷SHIBUYA SKY展望台門票,133300,33,80.66,,,,
煙火,False,1124,【期間限定】北海道｜洞爺湖花火大會一日遊｜洞爺湖煙火大會&昭和新山&Lake Hill Farm（札幌出發）,171435,26,9.62,,,,
水舞,False,1121,澳門新濠天地水舞間門票 House of Dancing Water,4366,980,84.73,,,,
Skyli,False,1114,【機場市區交通】京成 Skyliner（單程）,7913,24,87.82,,,,
海岸列車,False,1078,釜山通行證 VISIT BUSAN PASS,138477,200,9.73,韓國釜山｜海雲台藍線公園海岸列車・天空膠囊列車票,123012,151,81.74
福湯,False,1050,福湯岩盤浴 台中新時代館,268051,104,50.48,福湯岩盤浴 新竹湳雅館,119325,83,52.62
伊藤潤二,False,1049,伊藤潤二展 誘惑 JUNJI ITO EXHIBITION: ENCHANTMENT,579222,157,76.83,,,,
十鼓,False,1028,台南十鼓文創園區門票,21264,37,70.73,,,,
計畫票,False,1021,【 嗨玩大九州 】台灣虎航・桃園出發│佐賀＆大分＆宮崎 5日計畫票│贈唐吉軻德優惠券・不含機上餐,133005,104,11.88,,,,
shibuya,False,1018,澀谷SHIBUYA SKY展望台門票,133300,25,74.4,東京地鐵三日券/二日券/一日券 Tokyo Subway Ticket,5989,9,4.88
山嵐,False,1016,山嵐號縱谷旬味觀光列車套票｜車票＆中文導覽＆特色餐點,271157,279,74.16,,,,
蘭陽,False,1006,宜蘭蘭陽博物館常設展門票,101866,3,16.07,,,,
清倉,False,1005,酷航・桃園仁川｜首爾 5天計畫機票｜1 人成行・含行李,154003,32,29.26,,,,
e,False,1003,【50% OFF】日本 eSIM 無限流量 Rakuten / KDDI / Docomo,121004,3,30.0,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815,2,25.0
天橋,False,989,日本三景京都天橋立一日遊｜天橋立觀景台・智恩寺・伊根舟屋・伊根灣遊船｜可選含纜車與遊船票方案｜贈每人蝦條｜大阪/京都出發,145830,34,38.89,,,,
遠雄,False,984,花蓮遠雄海洋公園門票,107922,107,57.8,花蓮包車服務｜花蓮市區・花蓮火車站到遠雄海洋公園接駁車｜直達遊樂園，保證出發｜優惠下殺5折起,114599,9,3.66
三鷹,False,977,日本東京｜三鷹之森吉卜力美術館＆井之頭公園・漫步半日遊｜保證入園,21611,18,54.07,,,,
小丸子,False,970,櫻桃小丸子原作 40 週年特展,580003,22,82.61,,,,
東北,False,963,宮城仙台｜藏王狐狸村、日本三景松島拼車一日遊 ｜仙台站出發,20358,15,11.11,日本 東北仙台藏王御釜・狐狸村・長老湖・滑津瀑布一日遊（仙台出發）,145844,9,5.88
DMM,False,952,日本沖繩 DMM Kariyushi 水族館門票,173162,230,58.91,日本沖繩 DMM Kariyushi 水族館門票｜加贈冰淇淋兌換券,527376,61,51.95
兒童,False,948,臺北市立兒童新樂園門票,34133,9,38.46,,,,
麗星,False,944,【暑期兒童免費】麗星郵輪 探索星號 Star Navigator ｜2026航次-東北亞航程-基隆港出發,165534,591,63.98,,,,
泰拳,False,929,泰國曼谷｜Rajadamnern 體育場泰拳比賽,152948,72,59.47,芭達雅 | MAX 泰拳館門票,20290,49,4.59
Fun,False,925,【1人成行】Fun Pass 沖繩巴士｜萬座毛、美麗海水族館、波上宮、殘波岬燈塔、東南植物樂園燈光秀、美國村一日遊｜語音導覽服務,270690,8,0.0,沖繩 Fun Pass｜美麗海水族館＋任選組合優惠套票｜Okinawa FunPass,285076,5,39.29
三麗鷗,False,923,東京三麗鷗彩虹樂園 Sanrio Puroland 門票,10896,19,66.27,日本九州三麗鷗和諧樂園 Sanrio Harmony Land 門票,122592,15,16.15
臺北,False,920,桃園機場接送機服務｜全台各地市區專車接送,138845,4,4.84,台北袖珍博物館門票．聯票,30573,2,12.5
Skylin,False,919,【機場市區交通】京成 Skyliner（單程）,7913,20,88.89,,,,
臺灣,False,919,【5折優惠】台灣 每日流量/總量eSIM,162522,3,5.41,台灣好行阿里山車票,104515,1,5.0
劍湖山,False,917,雲林劍湖山世界主題樂園門票,26632,99,61.44,,,,
金山,False,914,新北金山海上螢火蟲登場｜磺港蹦火仔｜陸上漁村導覽＆海上蹦火船導覽｜富吉 268 號,168451,24,31.4,,,,
Spa,False,912,台北按摩｜森SPA足體按摩｜24小時營業,129358,2,19.05,,,,
四草,False,910,台南四草觀光船｜綠色隧道・台江航線船票,114800,17,72.88,,,,
頑皮世界,True,909,台南頑皮世界野生動物園門票,100025,75,73.78,【限量場次】台南學甲｜頑皮世界野生動物園｜水豚互動體驗預約,123754,7,17.33
Team,False,909,東京豐洲新型態美術館門票 teamLab Planets TOKYO,22396,6,87.5,,,,
亂打秀,False,889,首爾NANTA亂打秀門票｜明洞・弘大,2358,407,77.07,濟州亂打秀門票,525918,22,10.38
藍皮,False,887,藍皮解憂號觀光列車套票｜車票＆中文導覽＆特色餐點,24011,175,68.33,,,,
海風號,False,883,海風號甜點觀光列車套票｜紀念車票＆特色餐點,261726,288,74.07,,,,
日月潭纜車,False,882,南投日月潭套票｜日月潭纜車車票．遊湖船票．自行車租借券,30423,43,67.17,,,,
山嵐號,False,878,山嵐號縱谷旬味觀光列車套票｜車票＆中文導覽＆特色餐點,271157,333,75.23,,,,
Spa land,False,875,韓國釜山汗蒸幕推薦｜新世界 SPA LAND 汗蒸幕入場券,12213,146,89.94,,,,
伊,False,875,伊藤潤二展 誘惑 JUNJI ITO EXHIBITION: ENCHANTMENT,579222,2,0.0,,,,
周遊卡,False,874,大阪周遊卡一日券・二日券 OSAKA AMAZING PASS 電子票,12156,66,63.23,日本關西近鐵電車周遊券｜KINTETSU RAIL PASS 1日・2日・5日・5日PLUS版通票,18572,2,10.0
7-11,False,874,即買即用｜7-ELEVEN 數位商品禮券｜統一集團通用,133559,77,64.16,,,,
九九,False,852,南投九九峰動物樂園門票,140551,24,68.13,薰衣草森林南投九九峰園區門票,575535,1,36.36
通天閣,False,837,大阪通天閣門票,174504,36,70.51,,,,
湯屋,False,837,北投溫泉｜日勝生加賀屋國際溫泉飯店｜大眾湯/湯屋,34176,25,27.63,烏來溫泉｜馥蘭朵烏來渡假酒店,6615,3,23.73
六本木,False,833,日本東京六本木之丘展望台門票 Roppongi hills Tokyo City View,18946,40,56.47,,,,
台湾,False,832,【5折優惠】台灣 每日流量/總量eSIM,162522,4,35.71,,,,
藏王樹冰,False,832,東北一日遊｜銀山溫泉．藏王樹冰＆纜車．藏王御釜火山口．特色午餐｜仙台出發（中文領隊同行）,535840,155,29.71,,,,
木乃伊,False,827,埃及木乃伊-永生傳說,579724,11,83.33,,,,
鶯歌,False,826,新北鶯歌｜新旺集瓷陶藝教室｜手拉坯・手捏陶・貼花教學,18731,9,48.58,,,,
Nex,False,817,成田特快N'EX來回車票｜成田機場 (NRT) 往返東京、新宿、橫濱,529712,31,82.76,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815,3,0.56
ktx,False,807,首爾 -釜山KTX 火車票,536336,38,56.93,,,,
台鐵,False,806,山嵐號縱谷旬味觀光列車套票｜車票＆中文導覽＆特色餐點,271157,21,16.89,Taiwan PASS 台鐵版｜台鐵＋捷運,284326,10,18.65
梅田,True,803,大阪周遊卡一日券・二日券 OSAKA AMAZING PASS 電子票,12156,25,4.76,大阪梅田藍天大廈空中庭園展望台門票,22352,19,62.24
Arex,False,790,【교통패스】 한국 공항철도 AREX 편도 티켓,2878,25,82.71,首爾東大門 SPAREX 汗蒸幕門票,251827,2,7.89
nex,False,786,成田特快N'EX來回車票｜成田機場 (NRT) 往返東京、新宿、橫濱,529712,36,60.15,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815,4,1.71
伊藤,False,778,伊藤潤二展 誘惑 JUNJI ITO EXHIBITION: ENCHANTMENT,579222,71,80.8,,,,
