query,is_destination,search_pv,top1_prod_nm,top1_prod_mid,top1_profit,top1_ctr,top2_prod_nm,top2_prod_mid,top2_profit,top2_ctr
蘇澳,False,814,蘇澳｜蘇澳冷泉公園｜雙人湯屋．大眾湯．桑拿湯屋,183840,8,20.79,宜蘭蘇澳計程車博物館門票,33022.0,2.0,4.65
Arex,False,807,【교통패스】 한국 공항철도 AREX 편도 티켓,2878,36,84.18,首爾東大門 SPAREX 汗蒸幕門票,251827.0,2.0,7.94
長隆,False,806,長隆企鵝酒店,526903,14,25.0,長隆飛船酒店,526905.0,0.0,14.61
周遊卷,False,805,大阪周遊卡一日券・二日券 OSAKA AMAZING PASS 電子票,12156,54,52.66,【日本 JR PASS】關西廣域鐵路周遊券（韓國、馬來西亞、越南、菲律賓郵寄）,20317.0,15.0,8.08
藏王樹冰,False,801,東北一日遊｜銀山溫泉．藏王樹冰＆纜車．藏王御釜火山口．特色午餐｜仙台出發（中文領隊同行）,535840,123,29.11,【冬季銀山溫泉二日遊】銀山溫泉&宮崎藏王狐狸村&藏王中央纜車觀賞雪景&大內宿,535652.0,56.0,20.24
夏令營,False,800,台北內湖|【英語兒童烹飪科學營隊】【4-10歲】STEAM 科學與料理夏令營｜角色扮演咖啡屋營＋Weather | Kidchen Club內湖店,141629,60,0.0,2026英語夏令營 DR. SPARKS & The S Team - DR. PLARKS 的復仇,579362.0,25.0,13.55
卡丁車,False,799,GORILLA KART OKINAWA 卡丁車體驗｜日本沖繩｜附免費影片＆照片,151107,97,13.79,高雄鈴鹿賽道樂園｜一日無限暢遊券・卡丁車體驗,114876.0,0.0,7.65
梅田,True,799,大阪周遊卡一日券・二日券 OSAKA AMAZING PASS 電子票,12156,3,4.93,大阪梅田藍天大廈空中庭園展望台門票,22352.0,2.0,56.38
周遊卡,False,792,大阪周遊卡一日券・二日券 OSAKA AMAZING PASS 電子票,12156,64,70.05,日本關西近鐵電車周遊券｜KINTETSU RAIL PASS 1日・2日・5日・5日PLUS版通票,18572.0,1.0,16.67
九九,False,791,南投九九峰動物樂園門票,140551,31,66.67,薰衣草森林南投九九峰園區門票,575535.0,1.0,46.15
Nex,False,790,成田機場 (NRT) 往返東京、新宿、橫濱｜N'EX成田特快車票,529712,17,81.41,KDDI 5G 高速原生日本eSIM｜支援ChatGPT,243815.0,6.0,1.27
9.81,False,789,9.81 濟州島公園門票 | 韓國濟州島,131733,60,82.23,濟州魯亨超市,120624.0,0.0,4.0
麗星,False,786,【暑期兒童免費】麗星郵輪 探索星號 Star Navigator ｜2026航次-東北亞航程-基隆港出發,165534,964,61.65,東京三麗鷗彩虹樂園 Sanrio Puroland 門票,10896.0,0.0,1.25
Skylin,False,782,【機場市區交通】京成 Skyliner（單程）,7913,3,89.86,台北101觀景台門票,8332.0,0.0,0.0
t money,False,772,【韓國自由行必備】T-money Card 交通卡(桃園機場取件),18161,3,32.33,【韓國】WOWPASS｜具備換匯、付款、T-money交通卡功能的消費卡,149562.0,0.0,22.35
貓空,False,768,台北貓空纜車車票,115080,6,62.4,台北貓空景觀餐廳｜LAX 慵懶,267399.0,0.0,5.35
島語,False,760,台灣｜島語自助餐廳電子禮券,573171,5,65.67,KDDI (au)日本 eSIM｜無限流量 5G 高速上網｜全球最傑出的網路體驗,530339.0,0.0,0.0
